Name,MedNet Code,Address,City,Web Site,Phone,Insurance Plan,Hcfa Type,Edi Service
DANIEL FLAGGMAN,A187,187 SOUTH OLD WOODWARD ,"48009 BIRMINGHAM, MI",,(248) 642-5533,LITIGATION,HCFA1500 12-02,
DANIEL GAUMER,A4453,101 S STATE ST STE 240,"62523 DECATUR, IL",,(217) 429-4453,LITIGATION,HCFA1500 12-02,
DANIEL H PERIASWAMY ATTY AT LAW,A324,324 ANDREW LN,"60193 SCHAUMBURG, IL",,(847) 436-3156,N/A,HCFA1500 12-02,
DANIEL JUNCKER PC,A1803,1803 N BELT W,"62226 BELLEVILLE, IL",,(618) 277-8989,LITIGATION,HCFA1500 12-02,
DANIEL K ROBIN ATTORNEY AT LAW,A9100,121 S LASALLE,"60005 ARLINGTON HEIGHTS, IL",,(847) 670-9100,LITIGATION,HCFA1500 12-02,
DANIEL LAW FIRM,A106,106 CROSS CREEK BLVD,"62881 SALEM, IL",,(618) 548-6500,LITIGATION,HCFA1500 12-02,
DANIEL P BRACHT PC LLO,A127,127 E WALNUT ST,"68788 WEST POINT, NE",,(402) 372-5500,LITIGATION,HCFA1500 12-02,
DANIELS LONG & PINSEL LLC,A0019,7 S COUNTY ST,"60085-4981 WAUKEGAN, IL",,(847) 623-5900,LITIGATION,HCFA1500 12-02,
DANVILLE HIGH SCHOOL,0202,202 EAST FAIRCHILD ST,"61832 DANVILLE, IL",,(217) 444-1500,N/A,HCFA1500 12-02,
DANVILLE VA FEE DEPT 1900,V1900,E MAIN ST,"61832 DANVILLE, IL",,(217) 554-4214,VA MEDICAL CENTER,HCFA1500 12-02,CLAIM-MD
DARLING CORNING-USEW02,W1543,PO BOX 15430,"72231 LITTLE ROCK, AR",,(877) 753-3677,WORKERS COMPENSATION,HCFA1500 12-02,
DARLING INTERNATIONAL,W20261,202 BENGSTON ST,"61262 LYNN CENTER, IL",,,WORKERS COMPENSATION,HCFA1500 12-02,
DART,W6360,1100 DART WAY,"50313 DES MOINES, IA",,(515) 283-8105,WORKERS COMPENSATION,HCFA1500 12-02,
DART CONTAINER CORP ,48854,ATT WC 500 HOGSBACK ,"48854 MASON, MI",,(517) 244-2935,WORKERS COMPENSATION,HCFA1500 12-02,
DART MANAGEMENT CORP (DMC),318,PO BOX 318,"48854 MASON, MI",,(800) 248-0457,WORKERS COMPENSATION,HCFA1500 12-02,
DART MEMBER CARE/13101,173129,PO BOX 173129,"33672 TAMPA, FL",,(800) 248-0457,N/A,HCFA1500 12-02,CLAIM-MD
DAVE AMBERS LAW,A105,105 J ST,"46350 LA PORTE, IN",,(219) 325-9917,LITIGATION,HCFA1500 12-02,
DAVE'S BARBER SHOP ATTN W/C,W9729,2301 MARTIN LUTHER KING DR,"60064 NORTH CHICAGO, IL",,(847) 869-9729,WORKERS COMPENSATION,HCFA1500 12-02,
DAVENPORT AND WHITE,A7667,7667 W 95TH ST,"60457 HICKORY HILLS, IL",,(708) 430-5900,LITIGATION,HCFA1500 12-02,
DAVENPORT COMMUNITY SCHOOLS,W485,1606 N BRADY ST,"52803 DAVENPORT, IA",,(563) 336-5000,WORKERS COMPENSATION,HCFA1500 12-02,
DAVEY TREE,W4424,500 N MANTUA ST,"44240 KENT, OH",,(847) 537-4340,WORKERS COMPENSATION,HCFA1500 12-02,
DAVEY TREE SERVICE- W/C,W860,860 CHADDICK DR,"60090 WHEELING, IL",,(847) 465-8474,WORKERS COMPENSATION,HCFA1500 12-02,
DAVID BAKER LAW,A11015,1015 FLORIDA AVE B,"32955 ROCKLEDGE, FL",,(321) 631-8487,LITIGATION,HCFA1500 12-02,
DAVID BAWCUM,A74,74 E GRAND AVE,"60020 FOX LAKE, IL",,(847) 587-2551,LITIGATION,HCFA1500 12-02,
DAVID C THOMAS AND ASSOCIATES,A0201,180 N WACKER DR,"60606 CHICAGO, IL",,(312) 621-0101,LITIGATION,HCFA1500 12-02,
DAVID F SZCZECIN & ASSOC.,A1801,205 W RANDOLPH ST STE 1801,"60606 CHICAGO, IL",,(312) 436-0855,LITIGATION,HCFA1500 12-02,
DAVID KALEEL,A806,806 JEFFERSON ST,"61342 MENDOTA, IL",,(815) 539-5616,LITIGATION,HCFA1500 12-02,
DAVID L SALGADO,A920,1811 W DIEHL RD,"60563 NAPERVILLE, IL",,(630) 778-1600,LITIGATION,HCFA1500 12-02,
DAVID M. KRAMER,A2589,25892 WOODWARD AVENUE,"48067 ROYAL OAK, MI",,(248) 210-6757,LITIGATION,HCFA1500 12-02,
DAVID ZIMMERMAN ATTORNEY AT LAW,A42712,42712 VAN DYKE,"48314 ST HEIGHTS, MI",,(586) 991-0600,LITIGATION,HCFA1500 12-02,
DAVIES CLAIMS SOLUTIONS,W290217,PO BOX 290217,"37229 NASHVILLE, TN",,(800) 322-1276,WORKERS COMPENSATION,HCFA1500 12-02,
DAVIES GROUP,211392,PO BOX 211392,"55121 EAGAN, MN",,(800) 322-1276,N/A,HCFA1500 12-02,
DAVIES GROUP,W110279,PO BOX 110279,"34211 LAKEWOOD RANCH, FL",,(800) 749-3044,WORKERS COMPENSATION,HCFA1500 12-02,
"DAVIES LIFE & HEALTH, INC",70661,PO BOX 7066,"18105 ALLENTOWN, PA",,(800) 362-0700,N/A,HCFA1500 12-02,
DAVIS & GELSHENEN  LLP,A735,735 N WATER ST,"53202 MILWAUKEE, WI",,(414) 271-1000,LITIGATION,HCFA1500 12-02,
DAVIS BROTHERS,W1611,1611 W CULLOM AVE,"60613 CHICAGO, IL",,(773) 472-2055,WORKERS COMPENSATION,HCFA1500 12-02,
DAVIS LAW OFFICE LLC,A319,319 E MADISON ST,"62701 SPRINGFIELD, IL",,(217) 679-0393,LITIGATION,HCFA1500 12-02,
DAVIS VISION,112110,"CAPITAL REGION HEALTH PARK, SUITE 301","12110 LATHAM, NY",,(800) 999-5431,N/A,HCFA1500 12-02,
DAVITA,9046,904 MEDICAL PARK DR,"62401 EFFINGHAM, IL",,(217) 342-5906,N/A,HCFA1500 12-02,
DAWN COMPANIES,W16002,1602 WORKERS CT,"60431 JOLIET, IL",,,WORKERS COMPENSATION,HCFA1500 12-02,
DAYS INN,W5135,5135 UNIVERSITY PARKWAY,"71457 NATCHITOCHES, LA",,(318) 352-0783,WORKERS COMPENSATION,HCFA1500 12-02,
DBS VICTORIA FIELD OFFICE,41027,4102 N. NAVARRO ST. STE D-2,"77901 VICTORIA, TX",,(361) 580-5700,N/A,HCFA1500 12-02,
DC TRICORE W/C,W2987,29870 US HIGHWAY 41,"60044 LAKE BLUFF, IL",,(847) 688-9985,WORKERS COMPENSATION,HCFA1500 12-02,
DCEO -W/C,3034,620 E. ADAMS,"62701 SPRINGFIELD, IL",,(217) 524-0551,WORKERS COMPENSATION,HCFA1500 12-02,
DCFS,406,406 E MONROE ,"62701 SPRINGFIELD, IL",,(217) 785-4197,WORKERS COMPENSATION,HCFA1500 12-02,
DCMW COMMUNITY SERVICES,W7292,PO BOX 729,"62801 CENTRALIA, IL",,(618) 532-4890,WORKERS COMPENSATION,HCFA1500 12-02,
DDS (DENTISTRY GRANT),811,811 W WELLINGTON,"60657 CHICAGO, IL",,(773) 871-2188,N/A,HCFA1500 12-02,
DEACONESS ONECARE HEALTH,472,PO BOX 407,"47202 COLUMBUS, IN",,(844) 378-7103,ONECARE HEALTH,HCFA1500 12-02,CLAIM-MD
DEAN CARE MEDICA,560990,PO BOX 56099,"53705 MADISON, WI",,(800) 279-1301,N/A,HCFA1500 12-02,
DEAN CARE MEDICAID,56090,PO BOX  56099,"53705 MADISON, WI",,,MEDICAID HMO,HCFA1500 12-02,CLAIM-MD
DEAN EQUIPMENT-W/C,W2240,2240 PETERS RD,"70058 HARVEY, LA",,(504) 362-1142,WORKERS COMPENSATION,HCFA1500 12-02,
DEAN FOODS,W6303,6303 MAXON RD ATTN:BRANDON M.,"60033 HARVARD, IL",,(800) 943-2601,WORKERS COMPENSATION,HCFA1500 12-02,
DEAN HEALTH BY MEDICA - MEDICAID,21342M,PO BOX 21342,"55121 EAGAN, MN",,(800) 458-5512,MEDICAID HMO,HCFA1500 12-02,CLAIM-MD
DEAN HEALTH INSURANCE,5609,PO BOX 56099,"53705 MADISON, WI",,(800) 279-1301,N/A,HCFA1500 12-02,CLAIM-MD
DEAN HEALTH PLAN MEDICARE,5609M,PO BOX 56099,"53705 MADISON, WI",,(877) 232-7566,MEDICARE REPLACEMENT,HCFA1500 12-02,CLAIM-MD
DEAN INSURANCE,1955A,1955 BERNICE RD STE 1NE,"60438 LANSING, IL",,(708) 895-7883,AUTO INSURANCE,HCFA1500 12-02,
DEAN J CARAS AND ASSOCIATES,A320,320 W ILLINOIS ST  ,"60654 CHICAGO, IL",,(312) 494-1500,LITIGATION,HCFA1500 12-02,
DEAN TPA,9980,PO BOX 99806,"76099 GRAPEVINE, TX",,(877) 559-2432,N/A,HCFA1500 12-02,
DEBORAH LANCASTER ATTY,A1642,1642 W COLONIAL PKWY,"60067 INVERNESS, IL",,(847) 358-5755,LITIGATION,HCFA1500 12-02,
DECATUR CORRECTIONAL CENTER,23100,2310 E MOUND ROAD,"62526 DECATUR, IL",,(217) 877-0353,N/A,HCFA1500 12-02,
DECATUR FOUNDRY INC,W1745,1745 N ILLINOIS ST,"62526 DECATUR, IL",,(217) 429-5261,WORKERS COMPENSATION,HCFA1500 12-02,
DECATUR INDUSTRIAL ELECTRIC,W0625,1501 NORTH 22ND STREET,"62526 BEARSDALE, IL",,(217) 428-6621,WORKERS COMPENSATION,HCFA1500 12-02,
DECATUR INDUSTRIAL ELECTRIC,W1650,1650 E GARFIELD AVE,"62526 DECATUR, IL",,(217) 428-6621,WORKERS COMPENSATION,HCFA1500 12-02,
DECATUR PARK DISTRICT,W5911,620 E RIVERSIDE AVE,"62521 DECATUR, IL",,(217) 422-5911,WORKERS COMPENSATION,HCFA1500 12-02,
DECATUR PUBLIC SCHOOL DIST 61,W217,101 W CERRO GORDO ST,"62523 DECATUR, IL",,(217) 362-3000,WORKERS COMPENSATION,HCFA1500 12-02,
DECATUR PUBLIC TRANSIT SYSTEM,W5556,555 E WOOD STREET,"62523 DECATUR, IL",,(217) 424-2800,WORKERS COMPENSATION,HCFA1500 12-02,
DECATUR TOWNSHIP MED ASSISTANCE,1620,1620 S TAYLORVILLE ROAD,"62521 DECATUR, IL",,(217) 429-5284,N/A,HCFB1500 12-02,
DECATUR VA OUTPT CENTER,30356,3035 E MOUND RD,"62526 DECATUR, IL",,,N/A,HCFA1500 12-02,
DECHTER & DECHTER LTD,A1214,120 W MADISON ST ,"60602 CHICAGO, IL",,(312) 419-0055,LITIGATION,HCFA1500 12-02,
DECK LAW ATTY AT LAW,A5505,505 5TH ST STE 225,"51101 SIOUX CITY, IA",,(712) 252-5200,LITIGATION,HCFA1500 12-02,
DECKER TRUCK LINES,W576,PO BOX 915,"50501 FORT DODGE, IA",,(515) 576-4141,WORKERS COMPENSATION,HCFA1500 12-02,
DEEP ROCK ENERGY CORP,W6285,PO BOX 160,"62854 KINMUNDY, IL",,(618) 548-2779,WORKERS COMPENSATION,HCFA1500 12-02,
DEEP SOUTH INSURANCE,A24000,2400 DALLAS PKWY STE350,"75093 PLANO, TX",,(214) 493-4200,AUTO INSURANCE,HCFA1500 12-02,
DEEP SOUTH INSURANCE,77012,7701 LOS COLINAS RIDGE STE 600,"75063 IRVING, TX",,(800) 239-6871,N/A,HCFA1500 12-02,
DEERFIELD MOVING & STORAGE,W6009,415 N. WOLF RD,"60090 WHEELING, IL",,(800) 244-6683,WORKERS COMPENSATION,HCFA1500 12-02,
DEERFIELDS BAKERY,W3432,201 N BUFFALO GROVE RD,"60089 BUFFALO GROVE, IL",,(847) 534-0068,WORKERS COMPENSATION,HCFA1500 12-02,
DEEZEE MANUFACTURING,W1572,1572 NE 58TH AVENUE,"50313 DES MOINES, IA",,(515) 288-6325,WORKERS COMPENSATION,HCFA1500 12-02,
DEFEO AND KOLKER LLC,AT350,7700 BONHOMME AVE,"63105 SAINT LOUIS, MO",,(314) 684-8285,LITIGATION,HCFB1500 12-02,
DEFIANCE RECREATION INC,1923,1923 JEFFERSON AVE,"43512 DEFIANCE, OH",,(419) 784-3666,N/A,HCFA1500 12-02,
DEFINITY HEALTH,7408,PO BOX 740810,"30374 ATLANTA, GA",www.myuhc.com,(866) 333-4648,UHC,HCFA1500 12-02,CLAIM-MD
DEFINITY HEALTH,31374,PO BOX 31374,"30374 ATLANTA, GA",,(866) 333-4648,UHC,HCFA1500 12-02,CLAIM-MD
DEFINITY HEALTH PLAN,1669,PO BOX 9525,"14226 AMHERST, NY",www.definityhealth.com,(866) 333-4648,N/A,HCFB1500 12-02,CLAIM-MD
DEGRAFF CONCRETE/USE210,W8314,300 ALDERMAN,"60090 WHEELING, IL",,(847) 541-2140,WORKERS COMPENSATION,HCFA1500 12-02,
DEHLER MANUFACTURING/WC,W580,5801 W DICKENS AVE,"60639 CHICAGO, IL",,(773) 637-1666,WORKERS COMPENSATION,HCFA1500 12-02,
DEIBEL LABS ATTN W/C,WC7120,7120 N RIDGEWAY,"60712 LINCOLNWOOD, IL",,(847) 329-9900,WORKERS COMPENSATION,HCFA1500 12-02,
DEJONG BROS HARDWARE,W1113,1113 MAIN STREET,"51239 HULL, IA",,(712) 439-1775,WORKERS COMPENSATION,HCFA1500 12-02,
DEKALB COUNTY REHAB & NURSING,601159,2600 ANNIE GILIDDEN ROAD,"60115 DEKALB, IL",,(815) 758-2477,N/A,HCFA1500 12-02,
DELANO LAW OFFICES LLC,A1948,1 SOUTHEAST OLD STATE CAPITAL PLAZA,"62705 SPRINGFIELD, IL",,(217) 544-2703,LITIGATION,HCFA1500 12-02,
DELPHI,677,PO BOX 677,"60013 CARY, IL",,(800) 382-4711,N/A,HCFA1500 12-02,
DELPHI INS CO,29,PO BOX 29,"60021 FOX RIVER GROVE, IL",,(800) 382-4711,HUMANA,HCFA1500 12-02,
DELTA COTTON CO OP INC,W7556,7556 HWY 34 E,"72436 MARMADUKE, AR",,(870) 597-2741,WORKERS COMPENSATION,HCFA1500 12-02,
DELTA DENTAL,1157,PO BOX 1157,"57501 PIERRE, SD",,(800) 627-3961,COMMERCIAL ,HCFA1500 12-02,
DELTA DENTAL,1092,ONE DELTA DRIVE,"17055 MECHANICSBURG, PA",,(877) 233-3279,N/A,HCFA1500 12-02,
DELTA DENTAL,0240,240 VENTURE CIRCLE,"37228 NASHVILLE, TN",,,N/A,HCFA1500 12-02,
DELTA DENTAL OF ILLINOIS+,5402,PO BOX 5402,"60532 LISLE, IL",,(800) 323-1743,N/A,HCFA1500 12-02,
DELTA DENTAL OF IOWA,919,PO BOX 9000,"50131 JOHNSTON, IA",,(800) 544-0718,N/A,HCFA1500 12-02,
DELTA DENTAL OF KANSAS,7897,PO BOX 789769,"67278 WICHITA, KS",,(800) 234-3375,N/A,HCFA1500 12-02,
DELTA DENTAL OF MA,9695,PO BOX 9695,"02114 BOSTON, MA",,(800) 872-0500,N/A,HCFA1500 12-02,
DELTA DENTAL OF MI,9085,PO BOX 9085,"48333 FARMINGTON HILLS, MI",,(800) 524-0149,COMMERCIAL ,HCFA1500 12-02,
DELTA DENTAL OF MISSOURI,63126,PO  BOX 8690,"63126 SAINT LOUIS, MO",,,N/A,HCFA1500 12-02,
DELTA DENTAL OF NEBRASKA,3319,PO BOX 245,"55440 MINNEAPOLIS, MN",,(866) 827-3319,N/A,HCFA1500 12-02,
DELTA DENTAL OF OKLAHOMA,548809,PO BOX 548809,"73154 OKLAHOMA CITY, OK",,(800) 990-7337,N/A,HCFA1500 12-02,
DELTA DENTAL OF PENN,21050,PO BOX 2105,"17055 MECHANICSBURG, PA",,(800) 932-0783,COMMERCIAL ,HCFA1500 12-02,
DELTA DENTAL OF TX,300231,PO BOX 1809,"30023 ALPHARETTA, GA",,,N/A,HCFA1500 12-02,
DELTA DENTAL OF WI,8280,PO BOX 828,"54481 STEVENS POINT, WI",,(715) 344-6087,N/A,HCFA1500 12-02,
DELTA DENTAL;,1596,PO BOX 15965 ,"72231 N LITTLE ROCK, AR",,(800) 462-5410,N/A,HCFA1500 12-02,
DELTA HEALTH SYSTEMS,7025,PO BOX 702500,"84170 W VALLEY CITY, UT",,(888) 273-5185,N/A,HCFA1500 12-02,
DELTA HEALTH SYSTEMS,08,PO BOX 80,"95201 STOCKTON, CA",,(800) 807-0820,N/A,HCFA1500 12-02,
DELTA HEALTH SYSTEMS,6922,PO BOX 692230,"95269 STOCKTON, CA",,(800) 807-0820,N/A,HCFA1500 12-02,
DELTA RENOVATIONS,W422,422 N HOUGH ST,"60010 TIMBER LAKE, IL",,,WORKERS COMPENSATION,HCFA1500 12-02,
DEMAS LAW GROUP,A8250,701 HOWE AVE,"95825 SACRAMENTO, CA",,(916) 444-0100,LITIGATION,HCFA1500 12-02,
DEMESMIN AND DOVER LAW FIRM,A11665,1650 SE 17TH ST,"33316 FORT LAUDERDALE, FL",,(866) 954-6673,LITIGATION,HCFA1500 12-02,
DENCO,WC641,641 E MAIN STREET,"50168 MINGO, IA",,(641) 521-9928,WORKERS COMPENSATION,HCFA1500 12-02,
DENNIS BURKE,60515,801 BURLINGTON,"60515 DOWNERS GROVE, IL",,(630) 434-5537,N/A,HCFA1500 12-02,
DENNIS R ATTEBERY,A0220,220 WEST MAIN CROSS,"62568 TAYLORVILLE, IL",,(217) 824-3131,LITIGATION,HCFA1500 12-02,
DENNIS T SCHOEN PC,A2263,221 N LASALLE ST  STE 663,"60601 CHICAGO, IL",,(312) 558-9143,LITIGATION,HCFA1500 12-02,
DENNYS RESTAURANT,1303,1303 ARMOR RD,"60914 BOURBONNAIS, IL",,(815) 937-9304,N/A,HCFA1500 12-02,
DENTAQUEST OF ILLINOIS INC,1212,12121 N CORPORATE PKWY,"53092 MEQUON, WI",www.dentaquest.com,(800) 508-6780,HEALTH ALLIANCE,HCFA1500 12-02,
DEPANDABLE PERSONNEL,W260136,201 BRUSH HILL RD STE 201,"60126 ELMHURST, IL",,(312) 733-6200,WORKERS COMPENSATION,HCFA1500 12-02,
DEPARTMENT OF CORRECTIONAL SERVICES,60552,605 MAIN ST ,"52803 DAVENPORT, IA",,,N/A,HCFA1500 12-02,
DEPARTMENT OF HUMAN SERVICES,4744,4711 44TH ST SUIITE #5,"61201 ROCK ISLAND, IL",,(309) 786-1263,MEDICAID OTHER,HCFA1500 12-02,
DEPARTMENT OF NATURAL RESOURCES,62702,ONE NATURAL RESOURCES WAY ,"62702 SPRINGFIELD, IL",,(217) 782-1813,WORKERS COMPENSATION,HCFA1500 12-02,
DEPARTMENT OF PEDIATRICS STUDY PROGRAM,30580,1653 W CONGRESS PKWY STE 1591 JELKE,"60612 CHICAGO, IL",,(312) 563-2847,N/A,HCFA1500 12-02,
DEPARTMENT OF PUBLIC HEALTH,WC62761,535 W JEFFERSON,"62761 SPRINGFIELD, IL",,(217) 524-7593,WORKERS COMPENSATION,HCFA1500 12-02,
DEPARTMENT OF REHABILITATION SERV.,13076,1307 N MATTIS AVENUE,"61821 CHAMPAIGN, IL",,(217) 278-3500,N/A,HCFA1500 12-02,
DEPARTMENT OF REVENUE,W600,101 W. JEFFERSON,"62794 SPRINGFIELD, IL",,(217) 785-1961,WORKERS COMPENSATION,HCFA1500 12-02,
DEPARTMENT OF TRANSPORTATION,WC0400,400  WEST WABASH,"62401 EFFINGHAM, IL",,(217) 342-8217,WORKERS COMPENSATION,HCFA1500 12-02,
DEPARTMENT OF VETERAN AFFAIRS,8387,2500 OVERLOOK TERRACE,"53705 MADISON, WI",,(877) 222-8387,VA MEDICAL CENTER,HCFA1500 12-02,CLAIM-MD
DEPAUL UNIVERSITY INSURANCE,4117,2323 N SHEFFIELD AVENUE ,"60614 CHICAGO, IL",,(773) 325-4679,N/A,HCFA1500 12-02,
DEPINTO CARPENTRY,W27,27 S HOWARD AVE,"60172 ROSELLE, IL",,(630) 980-9986,WORKERS COMPENSATION,HCFA1500 12-02,
DEPT  OF LABOR-W/C,W8300,PO BOX 8311,"40742 LONDON, KY",,(844) 493-1966,WORKERS COMPENSATION,DEPT OF LABOR 12-02,
DEPT ASSIST/REHAB SVCS,77590,"2000 TEXAS AVE, STE 950","77590 TEXAS CITY, TX",,(409) 949-3913,COMMERCIAL ,HCFA1500 12-02,
DEPT OF CORRECTONS-ST OF LA,943,PO BOX 94304,"70804 BATON ROUGE, LA",,(225) 342-1238,N/A,HCFA1500 12-02,
DEPT OF HUMAN SERVICES,W19429,PO BOX 19429,"62704 SPRINGFIELD, IL",,(217) 785-4197,WORKERS COMPENSATION,HCFA1500 12-02,
DEPT OF HUMAN SVCS-DIV OF REHAB,12915,129 N 15TH ST,"61938 MATTOON, IL",,(217) 235-3154,COMMERCIAL ,HCFA1500 12-02,
DEPT OF LABOR & INDUSTRIES,W44291,PO BOX 44261,"98504 OLYMPIA, WA",,(360) 902-5800,WORKERS COMPENSATION,HCFA1500 12-02,
DEPT OF LABOR & INDUSTRIES,4269,PO BOX 44269,"98504 OLYMPIA, WA",,(360) 902-5169,WORKERS COMPENSATION,HCFA1500 12-02,
DEPT OF LABOR & INDUSTRY,W64221,PO BOX 64221,"55164 SAINT PAUL, MN",http://www.workplace.doli.state.mn.us/ediprofile/new.aspx,(800) 342-5354,WORKERS COMPENSATION,HCFA1500 12-02,
DEPT OF MEDICAL ASSISTANCE SERVICE PRACTIONER ,23261,PO BOX 27444,"23261 RICHMOND, VA",,(800) 772-9996,MEDICAID OTHER,HCFA1500 12-02,
DEPT OF MILITARY AFFAIRS,W13010,1301 N MACARTHUR BLVD,"62702 SPRINGFIELD, IL",,(217) 761-3738,WORKERS COMPENSATION,HCFA1500 12-02,
DEPT OF NAVY,WC70,HUMAN RESOURCES OFFICE,"60088 GREAT LAKES, IL",,(847) 688-2222,WORKERS COMPENSATION,HCFA1500 12-02,
DEPT OF REHAB SERVICES,W19251,PO BOX 19251,"62794 SPRINGFIELD, IL",,(800) 225-3607,WORKERS COMPENSATION,HCFA1500 12-02,
DEPT OF TRANSPORTATION-W/C,WC2300,2300 S DIRKSEN PARKWAY,"62764 SPRINGFIELD, IL",,,WORKERS COMPENSATION,HCFA1500 12-02,
DEPT OF VETERAN AFFAIRS,6810,4101 WOOLWORTH AVE,"68105 OMAHA, NE",,(402) 995-5400,VA MEDICAL CENTER,HCFA1500 12-02,CLAIM-MD
DEPT OF VETERAN AFFAIRS ,606120,820 S DAMON AVE,"60612 CHICAGO, IL",,,VA MEDICAL CENTER,HCFA1500 12-02,
DEPT OF VETERANS AFFAIRS,312,825 S DAMEN AVE ATTN: 136E,"60612 CHICAGO, IL",,(312) 569-8387,VA MEDICAL CENTER,HCFA1500 12-02,
DEPT OF VETERANS AFFAIRS,149200,PO BOX 149200,"78714 AUSTIN, TX",https://www.clfamilymembers.fsc.va.gov,(866) 372-1144,VA MEDICAL CENTER,HCFA1500 12-02,
DERGO LAW PLLC,A6177,120 SIXTEEN AND 1/2 TH STREET,"61201 ROCK ISLAND, IL",,(309) 319-6177,LITIGATION,HCFA1500 12-02,
DES INC,W50315,1300 CUMMINS ROAD,"50315 DES MOINES, IA",,(515) 288-2300,WORKERS COMPENSATION,HCFA1500 12-02,
DES MOINES COLD STORAGE,WC3805,3805 VANDALIA RD,"50317 DES MOINES, IA",,(515) 283-8050,WORKERS COMPENSATION,HCFA1500 12-02,
DES MOINES FIRES DEPT W/C,W283,900 MULBERRY,"50309 DES MOINES, IA",,(515) 299-6361,WORKERS COMPENSATION,HCFA1500 12-02,
DES MOINES PUBLIC SCHOOLS/SELF FUNDED,W901,2323 GRAND AVE,"50312 DES MOINES, IA",,(515) 242-7736,WORKERS COMPENSATION,HCFA1500 12-02,
DES MOINES SCHOOLS,WC2323,2323 GRAND AVE ,"50312 DES MOINES, IA",,(515) 242-8131,WORKERS COMPENSATION,HCFB1500 12-02,
DES MOINES SEED & NURSERY,WC6015,6015 GRAND AVE,"50317 DES MOINES, IA",,(515) 226-2552,WORKERS COMPENSATION,HCFA1500 12-02,
DES PLAINES CITY PUBLIC WORKS/WC,W847,1420 MINER ST,"60016 DES PLAINES, IL",,(847) 391-5482,WORKERS COMPENSATION,HCFA1500 12-02,
DESERET,80157,PO BOX 2430,"84110 SALT LAKE CITY, UT",,(801) 578-5661,N/A,HCFA1500 12-02,
DESERET MUTUAL,45530,PO BOX 45530,"84145 SALT LAKE CITY, UT",,(800) 777-3622,N/A,HCFA1500 12-02,
DESMET FARM MUTUAL INSURANCE,W57231,PO BOX 9,"57231 DE SMET, SD",,(605) 854-3337,WORKERS COMPENSATION,HCFA1500 12-02,
DESTINY,2034,PO BOX 4628,"60522 OAK BROOK, IL",www.destinyhealth.com,(630) 590-4200,PHCS,HCFA1500 12-02,
DESTINY HEALTH,1248 use 1803,PO BOX 9219,"60523 OAK BROOK, IL",,(888) 999-4957,PHCS,HCFA1500 12-02,
DESTINY HEALTH PLAN,1803,PO BOX 981803,"79998 EL PASO, TX",,(888) 999-4957,PHCS,HCFA1500 12-02,CLAIM-MD
DETEGO HEALTH ,211609,PO BOX 211609,"55121 EAGAN, MN",,(866) 815-6001,N/A,HCFA1500 12-02,CLAIM-MD
DETENTION PROGARMS STATE DOC,J691,691 INSTITUTION RD,"32433 DEFUNIAK SPGS, FL",,(850) 951-1300,N/A,HCFA1500 12-02,
DETROIT NURSING CENTER,26505,26505 POWERS AVE,"48125 DEARBORN HTS, MI",,(313) 291-6200,N/A,HCFA1500 12-02,
DETROIT POLICE MEDICAL ,4039,4201 ST ANTOINT,"48201 DETROIT, MI",,(313) 237-3100,N/A,HCFA1500 12-02,
DETROIT PUBLIC SCHOOLS RISK MGMT,W11199,3011 W GRAND BLVD,"48202 DETROIT, MI",,(313) 873-6656,WORKERS COMPENSATION,HCFA1500 12-02,
DEUTSCHMAN & ASSOCIATES,A7715,77 W WASHINGTON  STE 1525,"60602 CHICAGO, IL",,(312) 419-1600,LITIGATION,HCFA1500 12-02,
DEVON MEAT MARKET,W14400,1440 W DEVON AVE,"60660 CHICAGO, IL",,(773) 338-2572,WORKERS COMPENSATION,HCFA1500 12-02,
DEVOTED HEALTH PLAN ,35152,PO BOX 211524,"55121 EAGAN, MN",www.devoted.com/providers/,(877) 762-3515,MEDICARE REPLACEMENT,HCFA1500 12-02,CLAIM-MD
DFS,33008,PO BOX 1497,"33008 HALLANDALE, FL",,(800) 465-6390,N/A,HCFA1500 12-02,
DG WOOD PROCESSING ATTN W/C,W2128,120 E CTY RD 200 N,"61911 ARTHUR, IL",,(217) 543-2128,WORKERS COMPENSATION,HCFA1500 12-02,
DHL GLOBAL-USE 14459,W10601,10601 A SETMOUY AVE,"60131 FRANKLIN PARK, IL",,(847) 233-4260,WORKERS COMPENSATION,HCFA1500 12-02,
DHL-USE 14459,W6013,104100 WAVELAND ,"60131 FRANKLIN PARK, IL",,(847) 671-7400,WORKERS COMPENSATION,HCFA1500 12-02,
DHS CITY OF DECATUR,237,237 S MAIN # 203,"62523 DECATUR, IL",,,MEDICAID ILLINOIS,HCFB1500 12-02,
DHS PERSONAL ASSISTANT PROGRAM ,62794,400 W LAWRENCE ,"62794 SPRINGFIELD, IL",,(217) 558-1514,N/A,HCFA1500 12-02,
DIAGEO,W24460,24460 W 143RD ST,"60544 PLAINFIELD, IL",,,WORKERS COMPENSATION,HCFA1500 12-02,
DIAMBRI & VICARI PC,A530,530 N MILWAUKEE AVE STE A,"60048-5265 LIBERTYVILLE, IL",,(847) 367-9292,LITIGATION,HCFA1500 12-02,
DIAMOND CUT,W3104,3104 W 76TH ST,"52806 DAVENPORT, IA",,,WORKERS COMPENSATION,HCFA1500 12-02,
