MedNet Code,Medicare Modifiers,Bill Medical Direction
A1118,NO,NO
A3246,NO,NO
A1970,NO,NO
A3417,NO,NO
A10704,NO,NO
A708,NO,NO
A0312,NO,NO
A12223,NO,NO
A2424,NO,NO
A0055,NO,NO
A1730,NO,NO
A2454,NO,NO
A1701,NO,NO
W71104,NO,NO
A60102,NO,NO
A4440,NO,NO
A4444,NO,NO
A9655,NO,NO
A218,NO,NO
08501,NO,NO
A2708,NO,NO
A0668,NO,NO
A10400,NO,NO
A00221,NO,NO
A520,NO,NO
A3431,NO,NO
A0340,NO,NO
A6017,NO,NO
A30500,NO,NO
2033,NO,NO
61101,NO,NO
33A,NO,NO
A8900,NO,NO
A407S,NO,NO
A0301,NO,NO
600041,NO,NO
A400P,NO,NO
110E,NO,NO
A11516NE,NO,NO
A3325,NO,NO
A511,NO,NO
A702,NO,NO
A4401,NO,NO
A31731,NO,NO
A3712,NO,NO
AT17000,NO,NO
A3240,NO,NO
A7808,NO,NO
A180335,NO,NO
A947,NO,NO
A3400,NO,NO
A053,NO,NO
A5311,NO,NO
A39001,NO,NO
A30101,NO,NO
A6006,NO,NO
A7170,NO,NO
A021,NO,NO
A5295,NO,NO
48328,NO,NO
AT1001,NO,NO
A4700,NO,NO
A6157,NO,NO
A3900,NO,NO
A8780,NO,NO
A7330,NO,NO
A22212,NO,NO
A2512,NO,NO
A4477,NO,NO
A7257,NO,NO
A1908,NO,NO
A1478,NO,NO
A015,NO,NO
A16536,NO,NO
A60661,NO,NO
A4510,NO,NO
A3444,NO,NO
A1201,NO,NO
A31870,NO,NO
A0250,NO,NO
A170001,NO,NO
A1711,NO,NO
A1800B,NO,NO
A36097,NO,NO
A46410,NO,NO
A1095,NO,NO
A122,NO,NO
A0802,NO,NO
A19,NO,NO
A234W,NO,NO
A5205,NO,NO
A0725,NO,NO
A1601,NO,NO
A5624,NO,NO
A34211,NO,NO
A4803,NO,NO
A0905,NO,NO
A849,NO,NO
A47,NO,NO
A29829,NO,NO
A3702,NO,NO
A835,NO,NO
A16006,NO,NO
A27201,NO,NO
A1216,NO,NO
A5250,NO,NO
A2835,NO,NO
A4746,NO,NO
A4400,NO,NO
A684,NO,NO
A321,NO,NO
A3311,NO,NO
L299,NO,NO
A5108,NO,NO
606051,NO,NO
A45109,NO,NO
AT456,NO,NO
A487,NO,NO
A7700,NO,NO
A550300,NO,NO
A48012,NO,NO
A129218,NO,NO
A78401,NO,NO
A215,NO,NO
A18930,NO,NO
A2695,NO,NO
LIT,NO,NO
A1070,NO,NO
A0218,NO,NO
A1311,NO,NO
A201A,NO,NO
A255,NO,NO
A2011,NO,NO
A4765,NO,NO
A9233,NO,NO
A4011,NO,NO
62568,NO,NO
A1292,NO,NO
A6007,NO,NO
A2323,NO,NO
A815,NO,NO
AT1300,NO,NO
A9635,NO,NO
A3243,NO,NO
W2059,NO,NO
A4415,NO,NO
A5353,NO,NO
A1755,NO,NO
A48322,NO,NO
A1952,NO,NO
A630,NO,NO
A1130,NO,NO
A417,NO,NO
A40151,NO,NO
A495210,NO,NO
A515,NO,NO
5112,NO,NO
AT209,NO,NO
A2588,NO,NO
A3201,NO,NO
A0407,NO,NO
A0701,NO,NO
A624,NO,NO
A32918,NO,NO
A6301,NO,NO
A243,NO,NO
A773,NO,NO
A8060,NO,NO
A2746,NO,NO
AT0107,NO,NO
AT900,NO,NO
A2591,NO,NO
A306,NO,NO
A6333,NO,NO
A0680,NO,NO
A6204,NO,NO
A575,NO,NO
AT3250,NO,NO
A2565,NO,NO
A7111,NO,NO
A750,NO,NO
A1684,NO,NO
48334,NO,NO
A234E,NO,NO
A912,NO,NO
01225,NO,NO
A28470,NO,NO
A1060,NO,NO
25505,NO,NO
WC0218,NO,NO
A1619,NO,NO
AT805,NO,NO
A3071,NO,NO
A1622,NO,NO
A3000,NO,NO
A57007,NO,NO
A15153,NO,NO
A0032,NO,NO
A7249,NO,NO
A2699,NO,NO
A2711,NO,NO
A3635,NO,NO
A4844,NO,NO
A204,NO,NO
5674,NO,NO
A0330,NO,NO
A1441,NO,NO
A4000,NO,NO
A2241,NO,NO
A1604,NO,NO
A536,NO,NO
A600051,NO,NO
A18400,NO,NO
A2117,NO,NO
A337,NO,NO
A1793,NO,NO
A5434,NO,NO
A0513,NO,NO
334,NO,NO
A2388,NO,NO
AT488,NO,NO
A6400,NO,NO
600A,NO,NO
W7002,NO,NO
A18927,NO,NO
A450,NO,NO
A9674,NO,NO
A1990,NO,NO
A8350,NO,NO
AT1601,NO,NO
A2910,NO,NO
A14000,NO,NO
A108,NO,NO
A6010,NO,NO
A130300,NO,NO
3187,NO,NO
A0105,NO,NO
A4424,NO,NO
A547,NO,NO
A1243,NO,NO
A9954,NO,NO
A10780,NO,NO
A788,NO,NO
A8044,NO,NO
A0125,NO,NO
A10230,NO,NO
815A,NO,NO
A620,NO,NO
A821,NO,NO
A216,NO,NO
A5435,NO,NO
A8504,NO,NO
A875,NO,NO
AT119,NO,NO
2862,NO,NO
W11820,NO,NO
A0202,NO,NO
A403,NO,NO
A7680,NO,NO
A15127,NO,NO
A2502,NO,NO
A1001,NO,NO
A60062,NO,NO
A0300,NO,NO
A522,NO,NO
A3612,NO,NO
15530,NO,NO
A874,NO,NO
A77209,NO,NO
A15100,NO,NO
A5220,NO,NO
979111,NO,NO
A56,NO,NO
A2902,NO,NO
2391,NO,NO
A0100,NO,NO
A425,NO,NO
A8880,NO,NO
A0120,NO,NO
A1256,NO,NO
A3723,NO,NO
A7019,NO,NO
AT200,NO,NO
A5221,NO,NO
A5225,NO,NO
A330,NO,NO
A901,NO,NO
A400S,NO,NO
A0410,NO,NO
A4809,NO,NO
A1738,NO,NO
A4001,NO,NO
A60085,NO,NO
A433,NO,NO
A3130,NO,NO
11501,NO,NO
A29566,NO,NO
A1524,NO,NO
A111A,NO,NO
A80910,NO,NO
720068,NO,NO
A8975,NO,NO
A1975,NO,NO
A0107,NO,NO
A705,NO,NO
1959,NO,NO
A1750306,NO,NO
A2407,NO,NO
A1909,NO,NO
A210,NO,NO
A5130,NO,NO
A1200,NO,NO
A3793,NO,NO
A5121,NO,NO
A185,NO,NO
A71270,NO,NO
49734,NO,NO
AT777,NO,NO
A11516,NO,NO
A51450,NO,NO
62234,NO,NO
A8001,NO,NO
A63,NO,NO
A25,NO,NO
05001,NO,NO
A2535,NO,NO
A2855,NO,NO
A1590,NO,NO
A40700,NO,NO
A5084,NO,NO
A02746,NO,NO
AT220,NO,NO
A6444,NO,NO
61602,NO,NO
A2054,NO,NO
A9568,NO,NO
A7457,NO,NO
A4127,NO,NO
606031,NO,NO
A20245,NO,NO
A22735,NO,NO
A475,NO,NO
A5231,NO,NO
A3388,NO,NO
A2201,NO,NO
A319S,NO,NO
A3725,NO,NO
A6310,NO,NO
A43494,NO,NO
46324,NO,NO
A905,NO,NO
A1883,NO,NO
A4833,NO,NO
A6800,NO,NO
A1830,NO,NO
A699,NO,NO
A472,NO,NO
A1700,NO,NO
A299,NO,NO
A7735,NO,NO
A1133,NO,NO
WC1536,NO,NO
A0838,NO,NO
A513,NO,NO
A4181,NO,NO
A3701,NO,NO
A1834,NO,NO
200E,NO,NO
A717,NO,NO
A3424,NO,NO
AT1411,NO,NO
A1233,NO,NO
A17,NO,NO
W147,NO,NO
AT250,NO,NO
A3673,NO,NO
A488,NO,NO
A1716,NO,NO
A0750,NO,NO
A15,NO,NO
A12,NO,NO
AT300,NO,NO
A1005,NO,NO
AT1217,NO,NO
A1320,NO,NO
A1678,NO,NO
A10258,NO,NO
A8202,NO,NO
A6043,NO,NO
A2580,NO,NO
A4296,NO,NO
A23100,NO,NO
A1610,NO,NO
A2030,NO,NO
A407,NO,NO
A0542,NO,NO
A8004,NO,NO
A2425,NO,NO
61920,NO,NO
A49,NO,NO
AW2407,NO,NO
A774,NO,NO
A16162,NO,NO
A351,NO,NO
A0517,NO,NO
14349,NO,NO
A52801,NO,NO
A1377,NO,NO
A05200,NO,NO
A544,NO,NO
AT1656,NO,NO
A819,NO,NO
A25800,NO,NO
A2346,NO,NO
4177,NO,NO
A2001,NO,NO
A1776,NO,NO
AT5505,NO,NO
A5215,NO,NO
A5153,NO,NO
A9990,NO,NO
A800,NO,NO
A506,NO,NO
A1329,NO,NO
A175,NO,NO
A1337,NO,NO
A7550,NO,NO
A4712,NO,NO
A2002,NO,NO
A13004,NO,NO
A61801,NO,NO
5728,NO,NO
A10760,NO,NO
A125,NO,NO
A242,NO,NO
A3077,NO,NO
A323,NO,NO
A3475,NO,NO
A140,NO,NO
A654,NO,NO
1070,NO,NO
A1008,NO,NO
A3525,NO,NO
A2504,NO,NO
A655306,NO,NO
A53202,NO,NO
W351,NO,NO
A6670,NO,NO
1932A,NO,NO
60654,NO,NO
A3251,NO,NO
A720,NO,NO
A2655,NO,NO
WC330,NO,NO
A1155,NO,NO
A1895,NO,NO
A1010,NO,NO
138,NO,NO
8083,NO,NO
AT7320,NO,NO
A1016,NO,NO
A1847,NO,NO
A8015,NO,NO
A6234,NO,NO
A1018,NO,NO
W1413,NO,NO
A194,NO,NO
A1221,NO,NO
A742,NO,NO
A350,NO,NO
A2651,NO,NO
60301,NO,NO
A103300,NO,NO
A988,NO,NO
A392,NO,NO
A9,NO,NO
A0114,NO,NO
A2028,NO,NO
A1226,NO,NO
A5900,NO,NO
A410,NO,NO
AT75,NO,NO
A2303,NO,NO
A2088,NO,NO
A1034,NO,NO
30087,NO,NO
606078,NO,NO
A26555,NO,NO
A000033,NO,NO
A48328,NO,NO
A302,NO,NO
A502,NO,NO
A2000,NO,NO
A0116,NO,NO
A3633,NO,NO
A8518,NO,NO
A2421,NO,NO
19068,NO,NO
A644,NO,NO
A2706,NO,NO
742,NO,NO
A346,NO,NO
A9130,NO,NO
A1100,NO,NO
A275,NO,NO
A0405,NO,NO
A0805,NO,NO
A1761,NO,NO
A5001,NO,NO
1103,NO,NO
A0909,NO,NO
WC925,NO,NO
A3529,NO,NO
A1910,NO,NO
A3250,NO,NO
A1373,NO,NO
AT218,NO,NO
A317,NO,NO
A9912,NO,NO
A8501,NO,NO
A225301,NO,NO
A3820,NO,NO
A1901,NO,NO
A5510,NO,NO
A7223,NO,NO
A2104,NO,NO
A5555,NO,NO
AT603,NO,NO
A1232,NO,NO
A13321,NO,NO
A21051,NO,NO
A0314,NO,NO
A2101,NO,NO
A32901,NO,NO
A91436,NO,NO
A641,NO,NO
6102,NO,NO
L14512,NO,NO
A0350,NO,NO
A0621,NO,NO
A218110,NO,NO
A5291,NO,NO
A4469,NO,NO
A2400,NO,NO
A3310,NO,NO
A1460,NO,NO
AT401,NO,NO
A9900,NO,NO
A1154,NO,NO
A501,NO,NO
317A,NO,NO
A1980,NO,NO
A514,NO,NO
A967,NO,NO
A4142,NO,NO
A482,NO,NO
A5070,NO,NO
A7848,NO,NO
A1194,NO,NO
A0302,NO,NO
A0505,NO,NO
A1743,NO,NO
A9301,NO,NO
A1600,NO,NO
A209,NO,NO
A5310,NO,NO
A033,NO,NO
A4277,NO,NO
A2423,NO,NO
4676,NO,NO
A1017,NO,NO
A1981,NO,NO
AA19,NO,NO
A0666,NO,NO
AT1415,NO,NO
A0015,NO,NO
A727,NO,NO
A4494,NO,NO
A6606,NO,NO
1268,NO,NO
3602,NO,NO
2816,NO,NO
661018,NO,NO
52299,NO,NO
A0017,NO,NO
A1250,NO,NO
A422,NO,NO
A8S,NO,NO
W3310,NO,NO
AA132,NO,NO
A304,NO,NO
S4299,NO,NO
A0187,NO,NO
A3100,NO,NO
A6135,NO,NO
A6151325,NO,NO
A3030,NO,NO
A4112,NO,NO
A6045,NO,NO
A714,NO,NO
L3351,NO,NO
A668,NO,NO
A0162,NO,NO
A0248,NO,NO
A22201,NO,NO
A803,NO,NO
A0130,NO,NO
A1011,NO,NO
A1770,NO,NO
12145,NO,NO
A4346,NO,NO
WC6000,NO,NO
A625,NO,NO
A413,NO,NO
5875,NO,NO
A11919,NO,NO
A3050,NO,NO
A7075,NO,NO
A1330,NO,NO
A18300,NO,NO
A3031,NO,NO
A6018,NO,NO
A1166,NO,NO
A7054,NO,NO
A8750,NO,NO
A2076,NO,NO
37691,NO,NO
A3125,NO,NO
A4900,NO,NO
A1384,NO,NO
A5531,NO,NO
A53,NO,NO
A2412,NO,NO
8697,NO,NO
AA55,NO,NO
A442,NO,NO
A219,NO,NO
A3577,NO,NO
A252,NO,NO
10772,NO,NO
A707316,NO,NO
A9939,NO,NO
A1202,NO,NO
A1003,NO,NO
A7760,NO,NO
A2486,NO,NO
A510,NO,NO
AT107,NO,NO
A4431,NO,NO
A606031,NO,NO
A5320,NO,NO
A1414,NO,NO
AT108,NO,NO
A1760,NO,NO
A26211,NO,NO
A555,NO,NO
A1321,NO,NO
A37013,NO,NO
A7225,NO,NO
9618,NO,NO
A1557,NO,NO
A0416,NO,NO
A90075,NO,NO
A423,NO,NO
A710,NO,NO
A4824,NO,NO
A2020,NO,NO
A3210,NO,NO
A9200,NO,NO
AT225,NO,NO
A9290,NO,NO
A212E,NO,NO
0628,NO,NO
A26300,NO,NO
A7013,NO,NO
A1768,NO,NO
A0034,NO,NO
A0556,NO,NO
A335,NO,NO
A8760,NO,NO
A0900,NO,NO
A4550,NO,NO
A1021,NO,NO
A139,NO,NO
A603,NO,NO
W3001,NO,NO
A0266,NO,NO
A224,NO,NO
A5276,NO,NO
A4234,NO,NO
A0403,NO,NO
A23002,NO,NO
1860,NO,NO
AT2400,NO,NO
A1252,NO,NO
A85011,NO,NO
A4060,NO,NO
A0031,NO,NO
A6825,NO,NO
A4141,NO,NO
A50,NO,NO
A19194,NO,NO
A983,NO,NO
A233,NO,NO
303031,NO,NO
606061,NO,NO
A2058,NO,NO
AT2625,NO,NO
A1205,NO,NO
A2707,NO,NO
AT0300,NO,NO
A2251,NO,NO
AT2600,NO,NO
A1501,NO,NO
A3117,NO,NO
A0201,NO,NO
A1801,NO,NO
A300,NO,NO
A9630,NO,NO
A1208,NO,NO
AS150,NO,NO
A2625,NO,NO
A21002,NO,NO
A15017,NO,NO
A1750,NO,NO
A0500,NO,NO
A1025,NO,NO
A600,NO,NO
0205,NO,NO
W3309,NO,NO
333A,NO,NO
A205W,NO,NO
A3323,NO,NO
A7117,NO,NO
A21150,NO,NO
AT500,NO,NO
A1211,NO,NO
A1860,NO,NO
A9961,NO,NO
A1550,NO,NO
AT2220,NO,NO
A7222,NO,NO
A3300,NO,NO
A0873,NO,NO
A610,NO,NO
A2053,NO,NO
A2825,NO,NO
A20011,NO,NO
A1238,NO,NO
A1820,NO,NO
W4250,NO,NO
A2650,NO,NO
A33300,NO,NO
A1050,NO,NO
A8282,NO,NO
A5400,NO,NO
A0688,NO,NO
A0606,NO,NO
A225W,NO,NO
A5110,NO,NO
A2127,NO,NO
A1502570,NO,NO
A2121,NO,NO
A345,NO,NO
A370,NO,NO
A0255,NO,NO
A7399,NO,NO
A2111,NO,NO
A1717,NO,NO
A020,NO,NO
A741,NO,NO
A2023,NO,NO
A1190,NO,NO
A220,NO,NO
A2940,NO,NO
A3588,NO,NO
A1748,NO,NO
A6121,NO,NO
A155,NO,NO
A16125,NO,NO
A35600,NO,NO
A4955,NO,NO
A1508,NO,NO
A200E,NO,NO
A18030,NO,NO
A1845,NO,NO
A9700,NO,NO
A5944,NO,NO
A2080,NO,NO
A3700,NO,NO
PI161,NO,NO
A1661,NO,NO
A2500,NO,NO
A2507,NO,NO
60602,NO,NO
A0161,NO,NO
A4950,NO,NO
A2263,NO,NO
A1440,NO,NO
A1616,NO,NO
A2550,NO,NO
AT2100,NO,NO
A161N,NO,NO
A0203,NO,NO
A2250,NO,NO
A3630,NO,NO
A2750,NO,NO
A1161,NO,NO
A5056,NO,NO
A12510,NO,NO
A606111,NO,NO
A341,NO,NO
A16161,NO,NO
A12110,NO,NO
W180,NO,NO
A0177,NO,NO
A077,NO,NO
A0509,NO,NO
A782,NO,NO
A7207,NO,NO
A2810,NO,NO
AT1200,NO,NO
A0221,NO,NO
A3331,NO,NO
A0188,NO,NO
A11800,NO,NO
A1500,NO,NO
A2119,NO,NO
A22501,NO,NO
A20000,NO,NO
A556,NO,NO
A0415,NO,NO
A0899,NO,NO
A2575,NO,NO
A2010,NO,NO
A16116,NO,NO
A857,NO,NO
A26751,NO,NO
AT1700,NO,NO
A6650,NO,NO
A121N,NO,NO
A29,NO,NO
A19108,NO,NO
A055,NO,NO
A663,NO,NO
606011,NO,NO
A2032,NO,NO
A161,NO,NO
A3650,NO,NO
A1148,NO,NO
A150,NO,NO
A3560,NO,NO
A1512,NO,NO
A2210,NO,NO
A15080,NO,NO
A13310,NO,NO
A9241,NO,NO
A1917,NO,NO
A177,NO,NO
A1763,NO,NO
A16147,NO,NO
A2850,NO,NO
A55130,NO,NO
A559,NO,NO
A2560,NO,NO
A0200,NO,NO
A2212,NO,NO
A2510,NO,NO
A222460,NO,NO
A0155,NO,NO
A0230,NO,NO
A7204,NO,NO
W2003,NO,NO
A115,NO,NO
A12300,NO,NO
A75,NO,NO
A11000,NO,NO
A0134,NO,NO
A1810,NO,NO
A2220,NO,NO
A60602,NO,NO
A6368,NO,NO
A2,NO,NO
A77,NO,NO
601011,NO,NO
A1204,NO,NO
A3399,NO,NO
A0020,NO,NO
AT25,NO,NO
AT285,NO,NO
A002,NO,NO
A1116,NO,NO
A2126,NO,NO
A1004,NO,NO
A188,NO,NO
A6500,NO,NO
A5590,NO,NO
A1222,NO,NO
A1231,NO,NO
A13412,NO,NO
A3321,NO,NO
A1400,NO,NO
A0111,NO,NO
A33200,NO,NO
A1214,NO,NO
A7715,NO,NO
AT1500,NO,NO
4249,NO,NO
A3340,NO,NO
A0343,NO,NO
A1850,NO,NO
A0600,NO,NO
A7713,NO,NO
AT4020,NO,NO
A3255,NO,NO
A1800,NO,NO
A1134,NO,NO
A339,NO,NO
A2600,NO,NO
A5200,NO,NO
A7076,NO,NO
A1650,NO,NO
A2140,NO,NO
A33S,NO,NO
A123,NO,NO
A1425,NO,NO
A1907,NO,NO
A3120,NO,NO
A259,NO,NO
A070,NO,NO
A1430,NO,NO
A1861,NO,NO
A6844,NO,NO
A6344,NO,NO
A3317,NO,NO
AT1705,NO,NO
A801,NO,NO
A77W,NO,NO
A1513,NO,NO
1650,NO,NO
A1340,NO,NO
AT800,NO,NO
A4020,NO,NO
A2005,NO,NO
A1341,NO,NO
A77515,NO,NO
W134,NO,NO
A3350,NO,NO
A0810,NO,NO
A4500,NO,NO
A1057,NO,NO
A0418,NO,NO
A1420,NO,NO
A2125,NO,NO
A751,NO,NO
A1405,NO,NO
A6220,NO,NO
A6636,NO,NO
A119,NO,NO
A8636,NO,NO
A2070,NO,NO
A9121,NO,NO
A60,NO,NO
A6022,NO,NO
A082,NO,NO
A777,NO,NO
A0777,NO,NO
A9302,NO,NO
A0033,NO,NO
A9022,NO,NO
A1313,NO,NO
A302100,NO,NO
A6464,NO,NO
A2259,NO,NO
A3112,NO,NO
A2800,NO,NO
A12035,NO,NO
AT1910,NO,NO
A7777,NO,NO
AT1100,NO,NO
AT2105,NO,NO
A0151,NO,NO
A1210,NO,NO
A4256,NO,NO
A1015,NO,NO
A1120,NO,NO
A7707,NO,NO
A1525,NO,NO
A1227,NO,NO
1892,NO,NO
W1001,NO,NO
A1450,NO,NO
A1235,NO,NO
A700,NO,NO
A1840,NO,NO
A1342,NO,NO
A1720,NO,NO
A1288,NO,NO
A1692,NO,NO
A4342,NO,NO
A336,NO,NO
A49501,NO,NO
A3390,NO,NO
A3450,NO,NO
A6324,NO,NO
A105W,NO,NO
4242,NO,NO
A771220,NO,NO
1841,NO,NO
18412,NO,NO
4258,NO,NO
563,NO,NO
981647,YES,YES
709,NO,NO
008,NO,NO
6110,NO,NO
8020,NO,NO
1833,NO,NO
211446,NO,NO
94080,YES,YES
8115,YES,YES
13029,YES,YES
9480,YES,YES
03136,YES,YES
841309,YES,YES
7072,YES,YES
156,YES,YES
63645,YES,YES
10520,YES,YES
09000,YES,YES
610102,NO,NO
462066,NO,NO
62500,NO,NO
2850,NO,NO
5256,NO,NO
7355,NO,NO
461,NO,NO
20500,NO,NO
60611,NO,NO
MH1240,NO,NO
1029,NO,NO
651,NO,NO
981709,NO,NO
1240E,NO,NO
21535,NO,NO
30142,NO,NO
04243,NO,NO
14030,NO,NO
77090,NO,NO
21342M,NO,NO
31155,NO,NO
4212,NO,NO
5244,NO,NO
15900,NO,NO
8529,NO,NO
1511,NO,NO
618014,NO,NO
09P,NO,NO
618013,NO,NO
200020,NO,NO
9086,NO,NO
00541,NO,NO
1406,NO,NO
149021,NO,NO
4051,NO,NO
61103,NO,NO
14359,NO,NO
14169,NO,NO
611011,NO,NO
146020,NO,NO
11695,NO,NO
91729,NO,NO
19105,NO,NO
33670,NO,NO
3213,NO,NO
3860,NO,NO
4051H,NO,NO
219273,NO,NO
4621,NO,NO
01522,NO,NO
22813,NO,NO
22612,NO,NO
22815,NO,NO
4292,NO,NO
50500,NO,NO
497,NO,NO
4527,NO,NO
26375,NO,NO
2273,NO,NO
52400,NO,NO
26957,NO,NO
31350,NO,NO
52700,NO,NO
313618,NO,NO
5280,NO,NO
52501,NO,NO
48038,NO,NO
0640,NO,NO
336311,NO,NO
31372,NO,NO
40201,NO,NO
62198,NO,NO
982960,NO,NO
65855,NO,NO
80010,NO,NO
56090,NO,NO
54400,NO,NO
00047,NO,NO
58302,NO,NO
80606,NO,NO
232P,NO,NO
53583,NO,NO
52701,NO,NO
52401,NO,NO
1501,NO,NO
60938,NO,NO
66215,NO,NO
65204,NO,NO
98311,NO,NO
66548,NO,NO
83702,NO,NO
P7941,NO,NO
HM1240,NO,NO
60155,NO,NO
50107,NO,NO
6806,NO,NO
50106,NO,NO
68360,NO,NO
50100,NO,NO
501063,NO,NO
68069,NO,NO
50105,NO,NO
77003,NO,NO
7346,NO,NO
610101,NO,NO
0014,YES,YES
4251,NO,NO
20001,NO,NO
2525,NO,NO
002,NO,NO
237,NO,NO
1375,NO,NO
212711,NO,NO
0333,NO,NO
50131,YES,YES
01575,YES,YES
78310,YES,YES
50678,YES,YES
35283,YES,YES
211571,YES,YES
3039,YES,YES
3002,YES,YES
3304,YES,YES
1484,YES,YES
3315,YES,YES
23466,YES,YES
3607,YES,YES
30002,YES,YES
462031,YES,YES
0540,YES,YES
7269,YES,YES
3023,YES,YES
5088,YES,YES
004,YES,YES
71134,YES,YES
1869,YES,YES
004T,YES,YES
004A,YES,YES
1516,YES,YES
550,YES,YES
550A,YES,YES
550T,YES,YES
01010,YES,YES
407,YES,YES
803,YES,YES
150309,YES,YES
0064,YES,YES
61011,YES,YES
61838,YES,YES
4070K,YES,YES
96385,YES,YES
006,YES,YES
0061,YES,YES
0063,YES,YES
0065,YES,YES
7322,YES,YES
61808,YES,YES
03850,YES,YES
6246,YES,YES
3956,YES,YES
982964,YES,YES
11864,YES,YES
7777,YES,YES
4620,YES,YES
3068,YES,YES
22668,YES,YES
1333,YES,YES
48202,YES,YES
11656,YES,YES
64179,YES,YES
63188,YES,YES
7336,YES,YES
005,YES,YES
50601,YES,YES
0313,YES,YES
7810,YES,YES
62006,YES,YES
44306,YES,YES
606S,YES,YES
8207,YES,YES
432155,YES,YES
50108,YES,YES
1118,YES,YES
1118-OAP,YES,YES
9248,YES,YES
31055,YES,YES
244,YES,YES
4237,YES,YES
9503,YES,YES
6650,YES,YES
61264,YES,YES
53705,YES,YES
80217,YES,YES
4744,YES,YES
23261,YES,YES
89520,YES,YES
27444,YES,YES
3090,YES,YES
888,YES,YES
48226,YES,YES
4050,YES,YES
00919,YES,YES
40602,YES,YES
70803,YES,YES
4124,YES,YES
4179,YES,YES
39201,YES,YES
0560,YES,YES
4019,YES,YES
29202,YES,YES
25337,YES,YES
3571,YES,YES
4082,YES,YES
312245,YES,YES
80027,YES,YES
6678,YES,YES
3720,YES,YES
52403,YES,YES
55049,YES,YES
312241,YES,YES
610104,YES,YES
007,YES,YES
6101,YES,YES
77230,YES,YES
30601,YES,YES
30031,YES,YES
0286,YES,YES
22719,YES,YES
4801,YES,YES
31352,YES,YES
3137B,YES,YES
50109,YES,YES
3066,YES,YES
6406,YES,YES
53547,YES,YES
537050,YES,YES
6728,YES,YES
211094,YES,YES
6018,YES,YES
456,YES,YES
201,YES,YES
9020,YES,YES
774,YES,YES
6775,YES,YES
4411,YES,YES
3137M,YES,YES
0012,YES,YES
82071,YES,YES
4406,YES,YES
306061,YES,YES
90801,YES,YES
22812,YES,YES
22617,YES,YES
1917,YES,YES
1177,YES,YES
12029,YES,YES
94370,YES,YES
84127,YES,YES
21593,YES,YES
48037,YES,YES
9237,YES,YES
10864,YES,YES
24688,YES,YES
31039,YES,YES
20133,YES,YES
31125,YES,YES
981604,YES,YES
853914,YES,YES
480841,YES,YES
2150,YES,YES
794,YES,YES
3805,YES,YES
12040,YES,YES
15219,YES,YES
17471,YES,YES
37200,YES,YES
3919,YES,YES
618012,YES,YES
9821,YES,YES
06099,YES,YES
211154,YES,YES
1938,YES,YES
WC1727,YES,YES
0013,YES,YES
16218,YES,YES
001,YES,YES
0009,YES,YES
101,YES,YES
7238,YES,YES
301,YES,YES
H1001,YES,YES
5555,YES,YES
00100,YES,YES
05302,YES,YES
883,YES,YES
20019,YES,YES
3107,YES,YES
054,YES,YES
5472,YES,YES
9066,YES,YES
9700,YES,YES
30766M,YES,YES
3059,YES,YES
3152,YES,YES
261709,YES,YES
11464,YES,YES
908F,YES,YES
9088,YES,YES
7141,YES,YES
11410,YES,YES
1307,YES,YES
38338,YES,YES
255,YES,YES
9023,YES,YES
400012,YES,YES
9310,YES,YES
21342,YES,YES
1605,YES,YES
6018M,YES,YES
3421,YES,YES
64121,YES,YES
43219,YES,YES
2180,YES,YES
6603,YES,YES
226526,YES,YES
01011,YES,YES
13189,YES,YES
30600,YES,YES
2050,YES,YES
01521,YES,YES
38336,YES,YES
21325,YES,YES
428,YES,YES
3022,YES,YES
0668,YES,YES
2311,YES,YES
65355,YES,YES
1512,YES,YES
30788,YES,YES
52146M,YES,YES
5278,YES,YES
8297,YES,YES
7068M,YES,YES
3361,YES,YES
4888,YES,YES
70010,YES,YES
0908,YES,YES
8305,YES,YES
71480,YES,YES
11429,YES,YES
3662,YES,YES
36155,YES,YES
22920,YES,YES
91059M,YES,YES
274,YES,YES
25361,YES,YES
69054,YES,YES
6903,YES,YES
232M,YES,YES
03125M,YES,YES
24687,YES,YES
21063,YES,YES
3918,YES,YES
77274,YES,YES
41022,YES,YES
17001,YES,YES
1851,YES,YES
7154,YES,YES
60056,YES,YES
65203,YES,YES
02360,YES,YES
20189,YES,YES
30606,YES,YES
7280,YES,YES
1186,YES,YES
3466,YES,YES
6101MM,YES,YES
1813,YES,YES
11102,YES,YES
4946,YES,YES
7879,YES,YES
81070,YES,YES
30764,YES,YES
211342,YES,YES
66629,YES,YES
17M,YES,YES
67460,YES,YES
981706,YES,YES
853911,YES,YES
5314,YES,YES
60101,YES,YES
5213,YES,YES
14697,YES,YES
31286,YES,YES
8249,YES,YES
78269,YES,YES
98179,YES,YES
3863,YES,YES
85468,YES,YES
07303,YES,YES
2690002M,YES,YES
74135,YES,YES
7707,YES,YES
5609M,YES,YES
35152,YES,YES
10369,YES,YES
M3398,YES,YES
12488,YES,YES
14900,YES,YES
215E,YES,YES
4246,YES,YES
6340,YES,YES
3597,YES,YES
19559,YES,YES
32120M,YES,YES
151348,YES,YES
744920,YES,YES
82,YES,YES
2062,YES,YES
73101,YES,YES
9087,YES,YES
482023,YES,YES
09,YES,YES
80369,YES,YES
219454,YES,YES
5650,YES,YES
69355,YES,YES
2802,YES,YES
95638,YES,YES
93660H,YES,YES
0440,YES,YES
20002,YES,YES
20000,YES,YES
